,pos,smote,pos-smote
D_V050_AVG_CLAIM_CNT,1.0,1.0,0.0
D_V051_AVG_CLAIM_CNT,1.0,1.0,0.0
D_V053_AVG_CLAIM_CNT,0.933,0.9415555555555556,-0.008555555555555538
D_V054_AVG_CLAIM_CNT,0.987,0.9884444444444445,-0.0014444444444444704
D_V058_AVG_CLAIM_CNT,0.991,0.993,-0.0020000000000000018
D_V059_AVG_CLAIM_CNT,0.992,0.9927777777777778,-0.0007777777777777661
D_V060_AVG_CLAIM_CNT,1.0,1.0,0.0
D_V062_AVG_CLAIM_CNT,0.999,0.9995555555555555,-0.0005555555555555314
D_V063_AVG_CLAIM_CNT,0.999,0.9993333333333333,-0.0003333333333332966
D_V064_AVG_CLAIM_CNT,0.995,0.9948888888888889,0.00011111111111106187
D_V065_AVG_CLAIM_CNT,0.985,0.9867777777777778,-0.001777777777777767
D_V066_AVG_CLAIM_CNT,0.996,0.9968888888888889,-0.000888888888888939
D_V068_AVG_CLAIM_CNT,0.993,0.9946666666666667,-0.0016666666666667052
D_V069_AVG_CLAIM_CNT,0.992,0.9933333333333333,-0.0013333333333332975
D_2768_AVG_CLAIM_CNT,0.567,0.37444444444444447,0.19255555555555548
D_9597_AVG_CLAIM_CNT,0.955,0.9623333333333334,-0.007333333333333414
D_4359_AVG_CLAIM_CNT,0.957,0.9592222222222222,-0.0022222222222222365
D_V202_AVG_CLAIM_CNT,0.924,0.9264444444444444,-0.0024444444444443603
D_V741_AVG_CLAIM_CNT,0.979,0.9841111111111112,-0.005111111111111177
D_7020_AVG_CLAIM_CNT,0.952,0.9555555555555556,-0.003555555555555645
D_4556_AVG_CLAIM_CNT,0.984,0.9872222222222222,-0.0032222222222222374
D_2572_AVG_CLAIM_CNT,0.964,0.963,0.0010000000000000009
D_5853_AVG_CLAIM_CNT,0.949,0.9507777777777778,-0.001777777777777878
D_6927_AVG_CLAIM_CNT,0.987,0.9891111111111112,-0.0021111111111111747
D_7230_AVG_CLAIM_CNT,0.961,0.9665555555555555,-0.005555555555555536
D_7870_AVG_CLAIM_CNT,0.745,0.7652222222222222,-0.020222222222222253
D_7850_AVG_CLAIM_CNT,0.908,0.9136666666666666,-0.005666666666666598
D_4278_AVG_CLAIM_CNT,0.885,0.8957777777777778,-0.010777777777777775
D_3339_AVG_CLAIM_CNT,0.965,0.9676666666666667,-0.002666666666666706
D_3483_AVG_CLAIM_CNT,0.971,0.9751111111111112,-0.0041111111111111764
D_7819_AVG_CLAIM_CNT,0.957,0.9628888888888889,-0.0058888888888889435
D_7845_AVG_CLAIM_CNT,0.962,0.9657777777777777,-0.003777777777777769
D_3275_AVG_CLAIM_CNT,0.986,0.9876666666666667,-0.0016666666666667052
D_5589_AVG_CLAIM_CNT,0.918,0.9287777777777778,-0.010777777777777775
D_3098_AVG_CLAIM_CNT,0.983,0.9852222222222222,-0.0022222222222222365
D_7810_AVG_CLAIM_CNT,0.943,0.9453333333333334,-0.0023333333333334094
